,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
79,Chiquinho\dc6c2f02,Chiquinho\dc6c2f02,pt POR,MFDF,Wolves,22-046,2000,0.6,4,7.06,2,1,1,0,0,0,1,1.76,1,0,0,0,0,0,Matches
80,Hamza Choudhury\7d2d3329,Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,24-173,1997,3.2,1,0.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
81,Andreas Christensen\1cb49278,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-347,1996,14.1,6,0.42,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Carney Chukwuemeka\b2f9c73e,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,3,1.39,3,0,0,0,0,0,1,0.46,1,0,0,0,0,0,Matches
83,Ciaran Clark\2b91cf8e,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,5,0.44,4,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
84,Tom Cleverley\6cdd8245,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-223,1989,15.2,33,2.18,19,10,0,1,3,0,3,0.2,2,1,0,0,0,0,Matches
85,Nathaniel Clyne\0442183b,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-352,1991,6,3,0.5,3,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
86,Conor Coady\2928dca2,Conor Coady\2928dca2,eng ENG,DF,Wolves,29-026,1993,29.8,6,0.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Seamus Coleman\0420d84f,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-163,1988,21.6,33,1.53,26,1,0,2,2,2,3,0.14,2,0,0,0,1,0,Matches
88,Nathan Collins\a8c19eb8,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-327,2001,8.6,4,0.47,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
