,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
115,Emmanuel Dennis\2c44a35d,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,24-128,1997,24.2,9,1,1,61,40,10,25,18,21,1,0,0,138,55,90,37.9,Matches
116,Kiernan Dewsbury Hall\5c74c0f5,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,23-198,1998,13.7,3,0,0,19,21,0,30,24,16,0,0,0,137,17,19,47.2,Matches
117,Ibrahima Diallo\11ff3d56,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,23-015,1999,8.4,0,0,0,10,12,0,3,10,13,0,0,0,76,8,11,42.1,Matches
118,Raphael Dias Belloli\3423f250,Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,25-099,1996,25,6,0,0,40,43,11,75,36,19,0,1,0,164,18,23,43.9,Matches
119,Ruben Dias\31c69ef1,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24-313,1997,23.7,5,0,0,30,8,2,5,32,25,0,0,0,192,45,34,57,Matches
120,Luis Diaz\4a1a9578,Luis Díaz\4a1a9578,co COL,FW,Liverpool,25-069,1997,5.5,0,0,0,13,13,1,10,3,6,0,0,0,45,5,12,29.4,Matches
121,Eric Dier\ac861941,Eric Dier\ac861941,eng ENG,DF,Tottenham,28-067,1994,25.1,1,0,0,14,9,0,0,35,9,0,0,1,182,64,34,65.3,Matches
122,Lucas Digne\1b84dbe1,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,28-246,1993,7.1,1,0,0,11,14,0,31,12,4,0,0,0,70,14,11,56,Matches
123,Lucas Digne\1b84dbe1,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28-246,1993,13,4,0,0,17,11,0,34,31,17,0,0,1,138,25,14,64.1,Matches
124,Virgil van Dijk\e06683ca,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30-258,1991,27,2,0,0,8,10,0,0,39,9,0,0,0,339,108,35,75.5,Matches
125,Issa Diop\a712ca2b,Issa Diop\a712ca2b,fr FRA,DF,West Ham,25-073,1997,9,0,0,0,5,4,0,1,12,3,0,0,0,79,14,15,48.3,Matches
126,Moussa Djenepo\254147d4,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-281,1998,4.9,3,0,0,12,11,0,6,9,8,0,0,0,53,2,7,22.2,Matches
127,Lewis Dobbin\e814e1cf,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,19-079,2003,0.4,1,0,0,0,1,0,1,1,2,0,0,0,2,0,6,0,Matches
128,Matt Doherty\d557d734,Matt Doherty\d557d734,ie IRL,DF,Tottenham,30-066,1992,8.5,0,0,0,13,3,0,18,17,11,0,0,0,69,16,8,66.7,Matches
129,Gabriel Dos Santos\67ac5bb8,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,24-094,1997,24.4,6,1,1,19,32,1,2,32,26,0,0,0,172,52,27,65.8,Matches
130,Abdoulaye Doucoure\02b29014,Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,29-081,1993,19.7,4,0,0,39,16,1,6,31,29,0,0,0,238,33,36,47.8,Matches
131,Kieran Dowell\2f6ec02a,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,24-164,1997,4,0,0,0,13,3,0,10,1,4,0,0,0,16,8,11,42.1,Matches
132,Cody Drameh\e0d1510a,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,20-105,2001,1.4,1,0,0,2,0,0,2,3,3,0,0,0,9,0,2,0,Matches
133,Martin Dubravka\3a949a25,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-067,1989,17,1,0,0,0,2,0,0,0,0,0,0,0,66,0,0,,Matches
134,Shane Duffy\7314bba4,Shane Duffy\7314bba4,ie IRL,DF,Brighton,30-081,1992,16,7,0,0,20,7,1,0,18,9,0,0,0,151,81,23,77.9,Matches
135,Paul Dummett\3fe6bd8c,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,2,0,0,4,3,0,3,4,4,0,0,0,10,3,3,50,Matches
136,Lewis Dunk\282f75f3,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,30-122,1991,19.6,1,1,0,7,2,0,3,35,11,0,0,0,167,64,32,66.7,Matches
