,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
456,Zack Steffen,,us USA,GK,Manchester City,27-002,1995,1,33,38,86.8,638,313,18,18,100,10,10,100,5,10,50,0,0,0,0,0,0,0,0,Matches
457,Dale Stephens,,eng ENG,MF,Burnley,32-296,1989,1.4,31.4,40.7,77.2,596.4,152.9,11.4,16.4,69.6,15,17.9,84,4.29,5,85.7,0,0,0,0.71,1.43,0.71,0,2.14,Matches
458,Jack Stephens,,eng ENG,DF,Southampton,28-067,1994,7,40.1,50.4,79.6,835.4,265.9,13.1,14.1,92.9,19.9,23.4,84.8,6.57,11.6,56.8,0,0.04,-0.04,0.57,2.29,0,0,2.86,Matches
459,Raheem Sterling,,eng ENG,FW,Manchester City,27-117,1994,18.4,33.8,40.5,83.2,482.6,98.2,21.2,23.5,90.1,10.7,12.5,85.2,1.2,2.07,57.9,0.16,0.2,-0.04,1.74,0.76,2.39,0.38,3.37,Matches
460,Finley Stevens,,wls WAL,DF,Brentford,18-359,2003,0.2,25,40,62.5,470,255,10,15,66.7,15,20,75,0,5,0,0,0,0,5,0,5,0,10,Matches
461,John Stones,,eng ENG,DF,Manchester City,27-311,1994,9.6,75,80.3,93.4,1513.9,361.4,26.3,27.9,94,37.7,38.8,97.3,10.6,12.8,82.9,0,0.01,-0.01,0.21,6.04,0.21,0,3.33,Matches
462,Pascal Struijk,,nl NED,DFMF,Leeds United,22-236,1999,19.8,48,54.6,87.8,1030,274.2,13.5,14.8,91.2,26.3,28,93.7,7.83,10.7,73.1,0,0.01,-0.01,0.25,2.73,0.1,0,3.18,Matches
463,Crysencio Summerville,,nl NED,MFFW,Leeds United,20-156,2001,1.4,34.3,45,76.2,480,122.9,18.6,22.1,83.9,12.1,17.1,70.8,1.43,2.86,50,0,0,0,0.71,2.14,2.86,0,4.29,Matches
464,Jakob Sorensen,,dk DEN,DFMF,Norwich City,24-032,1998,4.1,35.9,42.9,83.5,772.7,206.6,11.7,13.7,85.7,16.1,17.6,91.7,7.32,10.5,69.8,0,0,0,0,2.93,0,0,1.71,Matches
465,Japhet Tanganga,,eng ENG,DF,Tottenham,23-004,1999,8.2,39.9,48.3,82.6,718.2,213.4,18,20.4,88.6,17.6,20.7,84.7,3.66,6.22,58.8,0,0.05,-0.05,0.24,1.1,0.61,0.12,2.2,Matches
466,Matt Targett,,eng ENG,DF,Newcastle Utd,26-198,1995,8,37.4,51.5,72.6,673.3,320,16.8,19.3,87,15.6,19.8,79.1,4,10.1,39.5,0,0.1,-0.1,1.75,2.25,1.13,0.25,3.5,Matches
467,Matt Targett,,eng ENG,DF,Aston Villa,26-198,1995,15.9,37.7,50.6,74.4,734.7,350.9,15.3,18.1,84.7,17.1,20.6,83.2,4.65,9.5,49,0.06,0.14,-0.08,1.38,4.21,1.45,0.5,5.91,Matches
468,James Tarkowski,,eng ENG,DF,Burnley,29-136,1992,26,22,31.3,70.2,553.7,217.8,5.42,7.04,77,9.96,13.1,76.2,6.35,10.5,60.2,0.08,0.02,0.06,0.19,2.65,0.35,0,2.42,Matches
469,Nuno Tavares,,pt POR,DF,Arsenal,22-068,2000,7,47.7,57.7,82.7,860.4,236,22.1,24.7,89.6,20.1,22.9,88.1,4.86,7.71,63,0.14,0.11,0.03,0.71,1.71,0.86,0.43,1.86,Matches
470,Charlie Taylor,,eng ENG,DF,Burnley,28-198,1993,20.3,30.9,43.7,70.6,573.6,245.8,14.5,16.7,87.3,11.6,15,77.6,4.14,10.3,40.2,0.05,0.08,-0.03,0.59,1.92,0.79,0.54,2.81,Matches
471,Nathan Tella,,eng ENG,MFFW,Southampton,22-273,1999,6.6,12.9,21.1,61.2,184.8,50,8.33,10.2,82.1,3.64,6.36,57.1,0.61,2.58,23.5,0,0.11,-0.11,0.76,0.76,0.45,0.3,1.21,Matches
472,Alex Telles,,br BRA,DF,Manchester Utd,29-110,1992,11.6,46.2,62.4,74,751.6,304.1,24,27.3,87.7,18,22.2,81.3,3.36,10.3,32.8,0.17,0.09,0.09,1.47,2.93,0.95,0.43,3.19,Matches
473,Luke Thomas,,eng ENG,DF,Leicester City,20-298,2001,17.2,47.6,58.8,80.8,757.5,282.9,24,26,92.2,20.2,23.8,85.1,2.5,6.22,40.2,0.06,0.08,-0.02,0.52,3.2,0.58,0,3.31,Matches
474,Dominic Thompson,,eng ENG,DF,Brentford,21-252,2000,1.6,13.1,25.6,51.2,211.3,57.5,6.25,8.75,71.4,5,6.25,80,1.25,8.13,15.4,0,0,0,0,0,0,0,0.63,Matches
475,Youri Tielemans,,be BEL,MF,Leicester City,24-332,1997,21.1,46.9,57.6,81.3,868.3,242.1,20.2,22.9,88,20.6,23.5,87.5,5.36,9.34,57.4,0.09,0.16,-0.07,1.42,5.12,1.04,0.19,5.59,Matches
476,Kieran Tierney,,sct SCO,DF,Arsenal,24-303,1997,21.3,42.4,54.6,77.7,807.2,259,16.5,18.8,88,21.1,24.6,85.9,4.32,9.34,46.2,0.14,0.09,0.05,1.03,3.43,1.17,0.75,3.57,Matches
477,Takehiro Tomiyasu,,jp JPN,DF,Arsenal,23-150,1998,15.4,46.4,58.4,79.5,833.1,309,21.3,24.4,87.2,19.4,24.1,80.6,5.06,7.99,63.4,0.06,0.04,0.03,0.65,3.77,0.97,0.78,2.99,Matches
478,James Tomkins,,eng ENG,DF,Crystal Palace,33-006,1989,6.1,45.2,51.5,87.9,1097,286.9,7.54,8.36,90.2,27.4,29,94.4,10.2,13.4,75.6,0,0.07,-0.07,0.33,0.82,0,0,1.48,Matches
479,Ivan Toney,,eng ENG,FW,Brentford,26-019,1996,25.3,13.5,23.6,57.3,200.8,73.1,7.91,12,65.8,3.95,7.27,54.3,1.03,2.21,46.4,0.12,0.17,-0.06,1.07,1.86,0.87,0.08,2.37,Matches
480,Ferran Torres,,es ESP,FW,Manchester City,22-034,2000,3.4,16.2,21.2,76.4,245.3,22.1,8.53,10.6,80.6,5.29,6.18,85.7,1.47,1.76,83.3,0.29,0,0.29,0.29,0.59,0.29,0,0.59,Matches
481,Cenk Tosun,,tr TUR,FW,Everton,30-301,1991,0.1,20,20,100,370,0,10,10,100,10,10,100,0,0,,0,0,0,0,0,0,0,0,Matches
482,Andros Townsend,,eng ENG,MF,Everton,30-262,1991,16.2,21.1,30.1,70.2,367.2,128.1,10,11.7,85.3,8.52,10.8,78.9,2.28,5.93,38.5,0.12,0.15,-0.02,1.85,1.11,1.73,0.8,2.84,Matches
483,Adama Traore,,es ESP,FW,Wolves,26-069,1996,11.9,20.6,27.6,74.5,354.9,66.7,10.5,13.4,78.6,7.14,9.5,75.2,2.61,3.45,75.6,0,0.14,-0.14,1.6,1.43,1.26,0.59,1.93,Matches
484,Bertrand Traore,,bf BFA,FWMF,Aston Villa,26-210,1995,2,25,32.5,76.9,480.5,114.5,10.5,12,87.5,11,14,78.6,3.5,4,87.5,0,0,0,0,2,2,0,5,Matches
485,Trezeguet,,eg EGY,FW,Aston Villa,27-185,1994,0.1,60,60,100,970,370,50,50,100,0,0,,10,10,100,0,0,0,0,20,10,0,10,Matches
486,Francisco Trincao,,pt POR,FWMF,Wolves,22-096,1999,13.5,23.9,31,77.3,401.6,88.2,12.1,14.2,85.4,8.89,10.7,83.3,2.3,3.93,58.5,0.07,0.09,-0.01,1.11,1.85,0.81,0.3,2.07,Matches
487,Kieran Trippier,,eng ENG,DF,Newcastle Utd,31-197,1990,3.5,39.1,57.4,68.2,861.7,490.9,14.3,15.7,90.9,14.9,22.6,65.8,9.14,16.9,54.2,0,0.11,-0.11,1.71,4,1.43,0,4.57,Matches
488,William Troost-Ekong,,ng NGA,DF,Watford,28-215,1993,15.3,28.6,36.2,78.9,751,238.8,4.18,5.03,83.1,15.8,17.6,89.6,8.5,13.1,65,0,0.01,-0.01,0.07,1.9,0.07,0,2.03,Matches
489,Leandro Trossard,,be BEL,FWMF,Brighton,27-121,1994,25.4,30,38.1,78.6,539.2,113.2,14.9,17.4,85.9,10.1,12.8,79,3.98,5.31,74.8,0.04,0.09,-0.05,1.38,2.52,1.93,0.2,4.06,Matches
490,Kostas Tsimikas,,gr GRE,DF,Liverpool,25-327,1996,7.4,47.6,66.2,71.8,867.7,314.1,20.3,23,88.2,21.1,26.6,79.2,5.54,13,42.7,0.27,0.23,0.04,2.43,2.43,1.22,0.81,4.73,Matches
491,Axel Tuanzebe,,eng ENG,DF,Aston Villa,24-141,1997,5.6,35.2,40.5,86.8,765.5,199.3,8.93,9.82,90.9,18.6,20.5,90.4,6.96,9.46,73.6,0,0,0,0,0.54,0,0,1.07,Matches
492,Ozan Tufan,,tr TUR,MF,Watford,27-012,1995,3.7,23,33,69.7,422.7,114.9,10.8,13,83.3,9.46,11.9,79.5,2.43,5.68,42.9,0,0.05,-0.05,1.08,3.51,0.27,0,2.97,Matches
493,Christos Tzolis,,gr GRE,FWMF,Norwich City,20-064,2002,3.5,19.4,26.6,73.1,342.3,85.7,9.43,11.7,80.5,7.14,8.57,83.3,2.29,4.57,50,0,0.29,-0.29,2.29,0.86,0.57,0.29,1.71,Matches
494,Yan Valery,,fr FRA,DF,Southampton,23-041,1999,1.5,31.3,45.3,69.1,554.7,177.3,14,18,77.8,14.7,19.3,75.9,2,6.67,30,0,0.07,-0.07,0.67,5.33,0.67,0.67,2.67,Matches
495,Raphael Varane,,fr FRA,DF,Manchester Utd,28-344,1993,16.3,49.7,55.2,90.1,1142.5,290.6,11.2,11.8,94.8,27.8,29.8,93.2,10.4,12.9,80.6,0.06,0.01,0.06,0.18,3.8,0,0,2.27,Matches
496,Jamie Vardy,,eng ENG,FW,Leicester City,35-083,1987,15.6,9.55,13.2,72.3,152.6,32.4,4.68,6.22,75.3,3.91,5.13,76.3,0.51,0.9,57.1,0.13,0.09,0.04,1.15,0.64,0.96,0.13,1.35,Matches
497,Joel Veltman,,nl NED,DF,Brighton,30-079,1992,23.9,48.7,61.1,79.7,959.5,347.9,16.2,18.1,89.6,26.5,31.7,83.6,5.48,9.21,59.5,0.04,0.04,0,0.59,4.23,0.67,0.25,3.97,Matches
498,Jannik Vestergaard,,dk DEN,DF,Leicester City,29-244,1992,6.3,52.1,56.7,91.9,1163.8,330.5,13.8,14.4,95.6,28.6,29.8,95.7,9.05,11.1,81.4,0,0,0,0.16,1.9,0,0,2.38,Matches
499,Nikola Vlasic,,hr CRO,FWMF,West Ham,24-182,1997,5.1,26.3,33.7,77.9,375.1,61.2,15.9,17.3,92,8.24,10.8,76.4,0.98,2.94,33.3,0,0.08,-0.08,1.37,0.39,0.78,0,1.96,Matches
500,Matej Vydra,,cz CZE,FW,Burnley,29-338,1992,5,9.6,14.4,66.7,111.8,22.6,6,8.8,68.2,2,2.8,71.4,0.2,0.4,50,0.2,0.04,0.16,0.8,0.2,0,0,0.6,Matches
501,Theo Walcott,,eng ENG,MFFW,Southampton,33-019,1989,4.2,14.5,20.5,70.9,200.5,33.8,8.57,10.2,83.7,5.24,7.62,68.8,0.48,0.95,50,0,0,0,0.24,0.48,0.24,0,0.71,Matches
502,Kyle Walker,,eng ENG,DF,Manchester City,31-311,1990,18.5,76.5,85.6,89.4,1487.4,393.1,29.9,31.6,94.7,36.2,39.4,91.8,10,13.1,76.4,0.11,0.06,0.04,0.7,9.08,1.03,0.27,4.54,Matches
503,Kyle Walker-Peters,,eng ENG,DF,Southampton,24-356,1997,21.3,39.3,49.6,79.3,640.3,231.4,20.7,23.4,88.2,15.5,19,81.7,2.68,4.93,54.3,0.09,0.11,-0.02,0.99,2.77,1.46,0.09,4.98,Matches
504,Aaron Wan-Bissaka,,eng ENG,DF,Manchester Utd,24-129,1997,17.9,47.9,57,83.9,711.9,235.1,28.3,30.8,92,15.6,18,86.6,2.46,4.64,53,0,0.05,-0.05,0.78,2.07,0.67,0.39,2.68,Matches
505,Joel Ward,,eng ENG,DF,Crystal Palace,32-157,1989,23,49.9,62.6,79.8,923.1,330.6,21.3,23.8,89.4,22.9,26.4,86.5,5.3,10.6,50,0,0.02,-0.02,0.26,3.3,0.61,0.17,2.74,Matches
506,James Ward-Prowse,,eng ENG,MF,Southampton,27-154,1994,27.7,48.6,61.5,78.9,905.6,281.5,20.9,22.5,93.1,20.3,23.1,87.8,6.5,14.3,45.6,0.14,0.19,-0.05,2.09,4.66,0.69,0.32,3.61,Matches
507,Ollie Watkins,,eng ENG,FW,Aston Villa,26-095,1995,25.1,16.1,22.1,72.7,223.6,44.2,9.84,12.5,78.9,4.46,6.18,72.3,0.8,1.31,60.6,0.04,0.1,-0.06,0.96,0.96,0.84,0.04,1.67,Matches
508,Adam Webster,,eng ENG,DF,Brighton,27-090,1995,13,63.4,75.5,83.9,1361.1,471.3,17.1,19.3,88.4,36,39,92.3,9.62,15.6,61.6,0,0.01,-0.01,0.08,6.54,0.08,0,4.54,Matches
509,Wout Weghorst,,nl NED,FW,Burnley,29-240,1992,9.2,17,26.1,65,196.5,50.5,12.3,16.8,72.9,2.93,5.11,57.4,0.54,1.09,50,0.22,0.05,0.16,0.43,0.98,0.54,0,1.41,Matches
510,Danny Welbeck,,eng ENG,FWMF,Brighton,31-129,1990,9.1,12.5,15.7,79.7,150,20.3,9.01,10.5,85.4,2.75,3.3,83.3,0.33,0.44,75,0,0.03,-0.03,0.77,0.55,0.55,0,0.77,Matches
511,Timo Werner,,de GER,FWMF,Chelsea,26-029,1996,8.9,19.7,26.5,74.2,271.8,45.2,12.5,14.5,86,5.96,7.75,76.8,0.67,1.57,42.9,0.11,0.02,0.09,0.45,0.56,0.79,0,1.46,Matches
512,Ashley Westwood,,eng ENG,MF,Burnley,32-003,1990,23.1,33.4,47.2,70.7,689.7,235.9,12.9,14.7,87.9,13.5,17.3,77.9,6.49,13.7,47.5,0.13,0.15,-0.02,1.26,3.94,1.26,0.09,4.16,Matches
513,Ben White,,eng ENG,DF,Arsenal,24-178,1997,26,46.8,54.4,86.1,961,298.2,15.2,16.5,92.1,25.2,27,93.2,6.15,10,61.5,0,0.02,-0.02,0.31,3.73,0.19,0,2.65,Matches
514,Brandon Williams,,eng ENG,DF,Norwich City,21-213,2000,21.5,37.7,46.8,80.4,687.8,253.5,16,17.7,90,18,21.9,82,3.53,6.19,57.1,0.05,0.06,-0.01,0.84,1.86,0.84,0.19,3.53,Matches
515,Neco Williams,,wls WAL,DF,Liverpool,20-356,2001,0.1,80,80,100,1530,320,10,10,100,50,50,100,10,10,100,10,6,4,10,0,0,0,0,Matches
516,Joe Willock,,eng ENG,MF,Newcastle Utd,22-227,1999,20.5,19.3,24,80.3,321,78.6,9.9,12,82.9,6.93,8.05,86.1,1.76,2.73,64.3,0,0.05,-0.05,0.73,1.51,0.39,0.15,1.66,Matches
517,Callum Wilson,,eng ENG,FW,Newcastle Utd,30-036,1992,13.2,7.95,11.7,68.2,117.6,21.9,3.86,5.53,69.9,2.8,3.79,74,0.45,0.83,54.5,0,0.03,-0.03,0.61,0.53,0.23,0.08,0.45,Matches
518,Harry Winks,,eng ENG,MF,Tottenham,26-061,1996,9.6,57.1,66,86.4,1114.9,325.2,21.9,23.5,92.9,25.3,28.3,89.3,8.33,11.8,70.8,0.1,0.16,-0.05,1.15,6.04,1.46,0,6.88,Matches
519,Yoane Wissa,,cd COD,FWMF,Brentford,25-213,1996,9.7,13.2,19.2,68.8,204.2,46.1,7.22,9.28,77.8,4.23,6.29,67.2,1.34,1.86,72.2,0,0.04,-0.04,0.52,0.82,0.62,0.1,1.65,Matches
520,Chris Wood,,nz NZL,FW,Newcastle Utd,30-118,1991,10.8,12.4,23.1,53.8,152.6,35.6,8.24,14.3,57.8,2.87,5.56,51.7,0.46,0.93,50,0,0.07,-0.07,0.83,1.3,0.09,0,0.74,Matches
521,Chris Wood,,nz NZL,FW,Burnley,30-118,1991,15.2,12,20.3,59.1,175.7,37.2,7.89,12.4,63.8,3.09,5.33,58,0.79,1.05,75,0,0.01,-0.01,0.46,1.12,0.33,0,1.25,Matches
522,Freddie Woodman,,eng ENG,GK,Newcastle Utd,25-031,1997,4,18.5,30.8,60.2,620.3,368.8,2,2,100,8.5,8.5,100,7.75,20,38.8,0,0,0,0,1.5,0,0,0,Matches
523,Granit Xhaka,,ch SUI,MF,Arsenal,29-189,1992,16.2,46.2,53.6,86.1,850.2,235.1,19.1,21.4,89.3,20.2,22.4,90.1,5.68,7.41,76.7,0.06,0.1,-0.04,1.36,6.23,1.11,0.06,5.56,Matches
524,Andriy Yarmolenko,,ua UKR,FWMF,West Ham,32-163,1989,2,26,36,72.2,460,106,13.5,18.5,73,8.5,11.5,73.9,3.5,4.5,77.8,0,0,0,1,0,2,0.5,3,Matches
525,Ashley Young,,eng ENG,DFFW,Aston Villa,36-269,1985,12.5,33.8,44,76.9,602.9,208.3,16.9,19.5,86.5,12.9,16.1,80.1,3.84,6.88,55.8,0.16,0.05,0.11,0.88,2.4,0.8,0.24,2.48,Matches
526,Wilfried Zaha,,ci CIV,FW,Crystal Palace,29-145,1992,22.5,24.5,32,76.7,392.8,111.5,12.9,15.6,82.4,8.93,11.1,80.7,2.04,3.2,63.9,0.04,0.18,-0.13,1.42,1.07,2.22,0.44,3.87,Matches
527,Christoph Zimmermann,,de GER,DF,Norwich City,29-082,1993,0.5,14,22,63.6,244,174,4,8,50,10,12,83.3,0,2,0,0,0,0,0,0,0,0,2,Matches
528,Oleksandr Zinchenko,,ua UKR,DF,Manchester City,25-110,1996,6.6,80.8,90.3,89.4,1431.2,375.5,39.1,41.7,93.8,32.1,34.5,93,9.09,11.7,77.9,0.15,0.14,0.02,1.06,8.33,2.12,0.45,6.97,Matches
529,Hakim Ziyech,,ma MAR,FWMF,Chelsea,29-016,1993,11.7,34.7,47.9,72.5,577,191.5,18.8,21.3,88.4,11.5,15,76.1,3.25,8.72,37.3,0.17,0.25,-0.08,1.97,2.82,1.79,0.68,4.53,Matches
530,Kurt Zouma,,fr FRA,DF,West Ham,27-159,1994,18.8,35.4,40.4,87.7,747.4,208.9,9.84,10.6,93,20.2,21.9,92.2,5.27,7.71,68.3,0,0,0,0,1.12,0.05,0,1.6,Matches
531,Martin Odegaard,,no NOR,MF,Arsenal,23-108,1998,21,44.2,52.6,84.1,772.9,175.4,21.6,24.1,89.3,15.9,18,88.4,5.33,7.76,68.7,0.14,0.23,-0.09,2.48,3.19,2.19,0.1,5.43,Matches
