,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-163,1988,21.6,1,8,1,12.5,0.37,0.05,0.13,1,17.2,0,0,0,1,1,0.12,0,0,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-327,2001,8.6,0,3,1,33.3,0.35,0.12,0,0,6.3,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-054,2000,1.7,0,2,0,0,1.15,0,0,,14.9,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-205,1991,14.2,0,4,0,0,0.28,0,0,,11,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-271,1989,9.8,0,3,0,0,0.31,0,0,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-177,1996,12.2,6,28,14,50,2.3,1.15,0.21,0.43,17.1,4,0,0,3,3,0.11,3,3,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-070,1994,0.2,0,1,0,0,4.09,0,0,,22.4,0,0,0,0,0,0.03,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-213,1992,18.7,0,11,4,36.4,0.59,0.21,0,0,17,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-284,1992,8.6,4,25,11,44,2.91,1.28,0.16,0.36,17.8,3,0,0,3.3,3.3,0.13,0.7,0.7,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-098,1989,22.3,1,12,2,16.7,0.54,0.09,0.08,0.5,21,6,0,0,0.7,0.7,0.06,0.3,0.3,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-106,2002,1.6,0,1,0,0,0.64,0,0,,10,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
98,Cucho,,co COL,FWMF,Watford,22-337,1999,11.3,5,32,9,28.1,2.84,0.8,0.16,0.56,19,5,0,0,2.5,2.5,0.08,2.5,2.5,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-244,1998,25.3,0,13,2,15.4,0.51,0.08,0,0,22.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-331,2002,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-165,1998,8.5,4,19,11,57.9,2.23,1.29,0.21,0.36,15.1,0,0,0,3.3,3.3,0.17,0.7,0.7,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-338,1991,28.9,1,28,7,25,0.97,0.24,0.04,0.14,21.1,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-005,1999,12.1,0,8,3,37.5,0.66,0.25,0,0,21.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-166,1990,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-151,1998,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-333,1993,19.3,0,12,4,33.3,0.62,0.21,0,0,16.3,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-266,1998,1.8,1,6,2,33.3,3.42,1.14,0.17,0.5,16.4,0,0,0,0.9,0.9,0.15,0.1,0.1,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-038,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-321,1990,23.9,2,22,5,22.7,0.92,0.21,0.09,0.4,7.9,0,0,0,2.5,2.5,0.11,-0.5,-0.5,Matches
