,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-273,1999,13.1,0.38,0.38,0.38,0,0,0,0,0,0.08,0.08,0.08,0,0,0,0,0,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-074,1995,1.9,0.53,0.53,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-074,1995,5,1.8,1.79,1.6,0,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,20-000,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-104,1996,6,3.5,3.5,1.83,1.17,0.17,0.17,0,0.17,0.17,0.17,0,0.17,0,0,0,0,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-058,2000,0.6,6.67,6.92,3.33,1.67,1.67,0,0,0,1.67,1.73,1.67,0,0,0,0,0,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-185,1997,3.2,0.31,0.32,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-359,1996,14.1,0.43,0.42,0.35,0,0.07,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-087,2004,2.2,1.36,1.39,1.36,0,0,0,0,0,0.45,0.46,0.45,0,0,0,0,0,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-190,1989,11.3,0.44,0.44,0.35,0,0,0.09,0,0,0.09,0.09,0.09,0,0,0,0,0,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-235,1989,15.3,2.16,2.16,1.24,0.65,0,0.07,0.2,0,0.2,0.2,0.13,0.07,0,0,0,0,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-364,1991,6,0.5,0.5,0.5,0,0,0,0,0,0.17,0.17,0.17,0,0,0,0,0,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-038,1993,30.8,0.19,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-175,1988,21.6,1.57,1.57,1.2,0.09,0,0.09,0.09,0.09,0.14,0.14,0.09,0,0,0,0.05,0,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-339,2001,8.6,0.47,0.47,0.35,0,0,0.12,0,0,0,0,0,0,0,0,0,0,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-066,2000,1.7,1.18,1.15,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-217,1991,15.2,0.46,0.46,0.33,0,0,0.07,0.07,0,0.13,0.13,0.07,0,0,0.07,0,0,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-283,1989,10.6,0.57,0.57,0.47,0,0,0,0,0.09,0,0,0,0,0,0,0,0,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-189,1996,12.7,1.02,1.02,0.63,0.08,0,0.16,0.16,0,0.16,0.16,0.08,0,0,0,0.08,0,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-082,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-225,1992,18.7,2.03,2.04,1.5,0.37,0,0.05,0.05,0.05,0.27,0.27,0.27,0,0,0,0,0,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-296,1992,9.4,3.3,3.29,2.23,0.32,0.32,0.21,0.21,0,0.53,0.53,0.43,0,0,0.11,0,0,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-110,1989,23.3,1.93,1.93,1.03,0.82,0,0.09,0,0,0.21,0.21,0.09,0.13,0,0,0,0,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-118,2002,1.6,0.63,0.64,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
