,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
360,Michael Olise,,fr FRA,FWMF,Crystal Palace,20-113,2001,10.8,64.8,1.39,7.22,31.3,32.4,3.24,60.5,1.94,4.17,46.7,1.94,0,47.1,285.2,182.1,9.81,3.06,0.93,1.85,2.5,56.9,46.5,81.8,3.33,Matches
361,Andrew Omobamidele,,ie IRL,DF,Norwich City,19-285,2002,4.2,65.7,7.14,33.1,34.3,4.05,0.48,62.6,0,0,,0,0,38.6,221.7,128.3,3.81,1.19,0,0.48,0.24,39,38.3,98.2,0.24,Matches
362,Tyler Onyango,,eng ENG,MFFW,Everton,19-031,2003,0.3,16.7,0,3.33,10,3.33,3.33,16.7,3.33,6.67,50,3.33,3.33,6.67,0,0,0,0,0,0,0,20,6.67,33.3,0,Matches
363,Frank Onyeka,,ng NGA,MF,Brentford,24-093,1998,11.6,40.4,2.07,10.9,20.9,11.1,1.55,39.7,0.78,1.21,64.3,0.86,0,24.5,142.4,74.5,3.02,0.78,0.26,0.95,1.55,30.5,23.4,76.8,2.59,Matches
364,Divock Origi,,be BEL,FW,Liverpool,26-351,1995,0.8,50,1.25,2.5,11.3,36.3,16.3,50,1.25,2.5,50,2.5,0,35,121.3,45,3.75,0,1.25,7.5,2.5,50,40,80,15,Matches
365,Alex Oxlade-Chamberlain,,eng ENG,MFFW,Liverpool,28-232,1993,8.7,57.8,0.69,5.75,29.8,28.2,3.79,56.7,1.15,1.72,66.7,1.49,0,42.1,240,141.8,7.47,3.79,0.57,1.03,2.07,53.4,42.6,79.8,6.21,Matches
366,Cole Palmer,,eng ENG,FWMF,Manchester City,19-333,2002,1.4,54.3,0,3.57,21.4,32.9,10.7,54.3,0.71,2.14,33.3,0.71,0.71,40.7,189.3,99.3,5,1.43,2.14,4.29,2.86,52.1,44.3,84.9,15,Matches
367,Emerson Palmieri,,it ITA,DF,Chelsea,27-244,1994,0.1,20,0,0,10,10,10,20,0,0,,0,0,20,100,20,0,0,0,0,0,20,20,100,10,Matches
368,Thomas Partey,,gh GHA,MF,Arsenal,28-295,1993,21.7,63.2,2.9,17.7,37,12.8,1.01,62.2,1.29,1.75,73.7,1.29,0.18,43.9,215,111.5,3.82,1.34,0.09,0.65,0.78,46.3,44.2,95.5,0.51,Matches
369,Joao Pedro,,br BRA,FWMF,Watford,20-190,2001,12.2,46.9,1.39,5.74,22.6,23,4.75,45.7,2.62,4.67,56.1,2.87,0.33,31.7,176.6,104.1,4.67,2.13,0.82,2.3,3.69,49.3,33.1,67.2,5.66,Matches
370,Nicolas Pepe,,ci CIV,FWMF,Arsenal,26-310,1995,6.7,64.6,1.64,8.66,21.5,37.8,8.06,58.8,2.24,4.78,46.9,2.39,0.15,45.5,199.7,100.9,6.87,1.49,1.19,4.03,2.99,56,43.3,77.3,7.16,Matches
371,Ricardo Pereira,,pt POR,DF,Leicester City,28-180,1993,9.8,72.3,3.67,22.2,35.8,18.3,2.04,63.2,1.02,1.63,62.5,1.02,0.2,43.7,174.5,106.5,5.1,1.43,0.41,0.82,0.61,47.8,42.9,89.7,1.22,Matches
372,Ayoze Perez,,es ESP,FWMF,Leicester City,28-255,1993,2.4,45,0.83,5.83,25.8,16.3,5.83,44.6,0.42,2.5,16.7,0.42,0.42,28.3,115.8,72.1,5,2.5,0.83,2.5,1.25,44.6,33.8,75.7,8.33,Matches
373,Sonny Perkins,,eng ENG,FW,West Ham,18-053,2004,0,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,3,1,33.3,0,Matches
374,Romain Perraud,,fr FRA,DF,Southampton,24-194,1997,13.4,53,2.84,13.7,21.8,20.1,1.64,44.6,0.45,1.27,35.3,0.6,0,30.7,162.1,85,3.43,1.19,0.3,0.97,0.6,32.8,28.7,87.3,2.24,Matches
375,Kalvin Phillips,,eng ENG,MF,Leeds United,26-123,1995,11.4,69.3,4.47,23.3,38.7,11.6,0.61,67.1,0.35,0.7,50,0.53,0,43,202.5,80.8,1.58,0.53,0.18,0.61,1.32,44.3,42.9,96.8,1.32,Matches
376,Jaden Philogene Bidace,,eng ENG,FW,Aston Villa,19-321,2002,0.1,30,0,10,0,20,0,30,0,0,,0,0,10,0,0,0,0,0,0,10,40,20,50,10,Matches
377,Jordan Pickford,,eng ENG,GK,Everton,28-028,1994,26,35.3,30.3,34.8,0.54,0,0,24.5,0.04,0.04,100,0.04,0,15.5,102.3,54.5,0,0,0,0,0,14.4,14.3,99.7,0,Matches
378,Erik Pieters,,nl NED,DF,Burnley,33-240,1988,7.9,57,7.09,20.8,26.5,12.5,0.38,47.1,0.38,0.89,42.9,0.38,0,24.3,116.5,68.5,2.28,1.14,0,0.89,0.38,24.1,22.5,93.7,0.51,Matches
379,Ethan Pinnock,,jm JAM,DF,Brentford,28-310,1993,28.7,64,10.1,34.2,24.6,7.67,1.88,56,0.17,0.28,62.5,0.21,0,26.4,134.8,73.6,1.36,0.28,0,0.45,0.21,33.2,31.6,95.1,0.42,Matches
380,Daniel Podence,,pt POR,FWMF,Wolves,26-165,1995,16.3,50.7,0.12,6.38,23.7,25.7,3.5,48.6,2.02,4.17,48.5,2.09,0.25,39.6,227.5,145.6,7.18,3.01,1.47,2.02,2.02,52.9,39.5,74.7,5.89,Matches
381,Paul Pogba,,fr FRA,MFFW,Manchester Utd,29-020,1993,13.5,70.7,1.7,11,41.9,22.1,3.63,70.1,2.37,3.11,76.2,2.44,0.07,51.3,214.6,125.4,6.07,1.63,0.59,1.7,2.44,63,54.8,87.1,4.22,Matches
382,Nick Pope,,eng ENG,GK,Burnley,29-350,1992,26,32.5,27.1,32,0.73,0,0,21.2,0.04,0.04,100,0.04,0,12.8,92.3,54.1,0,0,0,0,0,9.35,9.35,100,0,Matches
383,Teemu Pukki,,fi FIN,FW,Norwich City,32-006,1990,28.2,23,0.21,1.52,10.8,12.1,4.61,20.7,0.67,1.74,38.8,0.74,0.11,13.8,62.2,34.4,1.74,0.67,0.6,1.7,1.28,35.2,14.3,40.4,5.67,Matches
384,Christian Pulisic,,us USA,MFFW,Chelsea,23-198,1998,10.5,47.6,0.67,6.38,20.6,24.5,5.52,46.1,1.52,3.24,47.1,1.9,0.1,35,187.8,101,6.19,1.33,1.05,2.95,2.1,50.6,35.7,70.6,8.57,Matches
385,Przemyslaw Placheta,,pl POL,FWMF,Norwich City,24-012,1998,4.9,40.8,1.63,10,14.7,18.2,2.45,37.3,0.61,1.43,42.9,0.61,0,26.5,175.3,97.6,3.67,0.82,1.02,2.04,2.65,37.8,24.7,65.4,3.88,Matches
386,Jesuran Rak Sakyi,,eng ENG,MF,Crystal Palace,19-181,2002,0.2,65,0,5,40,20,0,55,0,0,,0,0,40,165,20,0,0,0,0,5,55,45,81.8,5,Matches
387,Aaron Ramsdale,,eng ENG,GK,Arsenal,23-325,1998,24,37.8,30.8,37.6,0.25,0,0,29.7,0.04,0.04,100,0.04,0,20.7,107.3,58,0,0,0,0,0,18.3,18.2,99.3,0,Matches
388,Jacob Ramsey,,eng ENG,MF,Aston Villa,20-311,2001,22.4,50.2,1.92,10.9,27.1,17,1.96,49.7,0.94,1.56,60,1.07,0.09,37,239.9,130.5,5.89,2.05,0.4,2.28,1.65,41.3,35.5,86.1,3.21,Matches
389,Marcus Rashford,,eng ENG,FWMF,Manchester Utd,24-155,1997,10.8,43.6,0.56,4.35,17.6,24.5,5.83,43.1,1.67,4.07,40.9,1.94,0.28,30.3,148.1,93,4.81,1.3,1.11,2.41,1.94,53.4,35.9,67.2,9.44,Matches
390,Milot Rashica,,xk KVX,FWMF,Norwich City,25-280,1996,18.9,38.2,1.69,8.41,15.9,18.5,2.49,34.4,0.85,3.17,26.7,1.01,0.16,25.1,194.2,129.3,4.87,2.17,0.9,2.01,2.12,34.8,22.6,65,3.97,Matches
391,David Raya,,es ESP,GK,Brentford,26-201,1995,17,47.5,37.7,46.4,1.24,0,0,35.7,0,0,,0,0,23,121.4,60.2,0.06,0,0,0.12,0,23.2,23.2,99.7,0,Matches
392,Nathan Redmond,,eng ENG,MFFW,Southampton,28-029,1994,15.1,44.9,1.32,5.83,20.3,22.5,2.58,42.9,1.06,1.99,53.3,1.26,0.2,30.2,200,112.8,6.09,2.45,0.86,1.26,1.06,41.8,31.1,74.3,4.97,Matches
393,Sergio Reguilon,,es ESP,DF,Tottenham,25-109,1996,19.5,60.2,3.69,15.9,24.4,22.8,2.77,52.4,0.92,2.41,38.3,0.92,0.21,36.7,171.3,96.3,4.82,1.64,0.51,1.23,0.97,41.7,36.1,86.6,3.85,Matches
394,Declan Rice,,eng ENG,MF,West Ham,23-080,1999,29,69,3.93,19,44.9,12.4,1.38,68.2,1,1.72,58,1.14,0.07,49.4,366.6,192.2,7.38,2.69,0.41,0.59,0.79,49.9,47.8,95.6,1,Matches
395,Taylor Richards,,eng ENG,MFFW,Brighton,21-121,2000,0.3,106.7,0,10,50,53.3,0,106.7,0,3.33,0,3.33,0,86.7,410,196.7,10,6.67,0,0,3.33,96.7,86.7,89.7,13.3,Matches
396,Richarlison,,br BRA,FWMF,Everton,24-329,1997,19.2,35,1.2,4.22,14.1,18.5,4.79,34.2,1.15,2.6,44,1.35,0.1,22.9,100.8,52.2,3.02,0.68,0.68,2.71,2.5,44.2,22.8,51.6,5.31,Matches
397,Jairo Riedewald,,nl NED,MF,Crystal Palace,25-207,1996,1.3,50.8,1.54,14.6,30,11.5,0.77,46.9,0,1.54,0,0,0,33.1,143.8,56.2,3.08,1.54,0,0.77,0.77,35.4,31.5,89.1,2.31,Matches
398,Matt Ritchie,,sct SCO,DF,Newcastle Utd,32-206,1989,14.6,54.8,3.08,17.4,22.5,17.1,0.62,42.5,0.21,0.34,60,0.21,0.07,26.5,102.7,47.9,1.99,0.62,0,0.48,0.27,28.6,26.2,91.8,0.68,Matches
399,Connor Roberts,,wls WAL,DF,Burnley,26-193,1995,11.2,52.6,4.55,15.8,25.3,13.4,0.63,41.9,0.54,0.71,75,0.54,0.09,23.7,110.9,59,2.95,1.07,0.36,0.27,0.09,24.2,21.7,89.7,0.71,Matches
400,Tyler Roberts,,wls WAL,MFFW,Leeds United,23-082,1999,11,39.5,1.09,6.45,19.4,17.4,4.45,38.2,0.82,2,40.9,0.82,0,28.2,161.6,74.1,3.91,1.64,0.73,1.91,1.18,40.9,27.3,66.7,7.18,Matches
401,Andrew Robertson,,sct SCO,DF,Liverpool,28-024,1994,22.5,90.2,2.98,19.5,43.6,32.5,3.56,77.6,0.53,1.07,50,0.58,0.04,56.6,259.6,160.3,7.24,2.58,0.36,0.62,0.62,65.4,59.9,91.6,4.58,Matches
402,Joe Rodon,,wls WAL,DF,Tottenham,24-164,1997,0.9,34.4,11.1,20,15.6,1.11,0,34.4,0,0,,0,0,17.8,54.4,5.56,0,0,0,0,0,18.9,16.7,88.2,0,Matches
403,Rodri,,es ESP,MF,Manchester City,25-286,1996,24.4,97.6,3.03,18.9,61.8,23,1.8,96.5,0.33,0.66,50,0.37,0.04,68.1,294.5,151.1,6.76,1.43,0.25,0.37,0.9,77.7,75.4,97,2.09,Matches
404,Rodrigo,,es ESP,MFFW,Leeds United,31-029,1991,19.1,48.2,1.52,7.02,25.3,19.5,3.46,45.8,0.73,1.94,37.8,0.79,0,32.9,163.5,74.2,4.24,1.62,0.47,2.57,1.36,47.9,35.5,74.3,8.06,Matches
405,Jay Rodriguez,,eng ENG,FW,Burnley,32-249,1989,10.7,30.4,0.84,4.49,14.2,13.6,3.18,30.1,0.65,1.12,58.3,0.84,0.19,13.8,83.4,39.9,2.24,0.93,0.19,1.5,0.84,43.8,20.9,47.8,4.58,Matches
406,Mads Roerslev,,dk DEN,DF,Brentford,22-284,1999,11.5,35.1,3.57,13.9,12.4,9.91,0.7,34.1,0.17,1.22,14.3,0.43,0,18.4,68.3,26.5,1.3,0.26,0.09,0.7,0.96,24.2,18.3,75.5,1.83,Matches
407,Cristian Romero,,ar ARG,DF,Tottenham,23-342,1998,15.5,74.3,11.4,39.6,35.5,4.45,0.84,72.6,0.26,0.52,50,0.32,0,50.2,269.5,148.2,3.35,0.9,0.06,0.45,0.19,51.7,50.1,96.9,0.45,Matches
408,Oriol Romeu,,es ESP,MF,Southampton,30-192,1991,26.4,64.7,2.88,15.3,40.3,13.4,1.48,63.8,0.8,1.14,70,0.8,0,41.8,200.2,104.3,4.7,1.36,0.19,0.91,0.61,43.8,41.7,95.2,1.25,Matches
409,Cristiano Ronaldo,,pt POR,FW,Manchester Utd,37-058,1985,21.3,41.2,1.27,3.29,18.5,21.3,6.85,39.9,0.75,1.46,51.6,0.85,0,25.4,117.5,66.1,4.74,1.08,1.27,1.41,1.36,53.9,33.1,61.3,8.03,Matches
410,Salomon Rondon,,ve VEN,FW,Everton,32-200,1989,7.9,32.3,1.65,3.16,14.3,15.3,5.44,31.5,0.25,0.76,33.3,0.25,0,14.8,55.6,20.8,1.01,0.13,0.13,2.28,1.01,47.6,22.4,47.1,5.44,Matches
411,Danny Rose,,eng ENG,DF,Watford,31-276,1990,7.7,53.1,4.42,17.9,23.4,14.5,0.52,39.6,1.17,1.95,60,1.17,0.26,22.7,108.2,66,3.25,1.04,0,0.52,0.78,24.9,22.5,90.1,0.78,Matches
412,Jon Rowe,,eng ENG,FWMF,Norwich City,18-339,2003,1.5,46.7,1.33,8,18,23.3,4.67,46,2.67,4.67,57.1,3.33,0,36.7,168.7,72.7,5.33,0.67,0.67,1.33,4,47.3,29.3,62,5.33,Matches
413,Antonio Rudiger,,de GER,DF,Chelsea,29-032,1993,27,79.7,6.93,33,43.3,9.44,1.44,78,0.19,0.26,71.4,0.19,0,57.1,268.8,160.4,5.15,1.93,0.11,0.26,0.48,63.1,61.4,97.4,0.48,Matches
414,Lukas Rupp,,de GER,MF,Norwich City,31-086,1991,6.5,63.2,3.38,16.6,33.5,17.7,2,62.8,1.23,1.54,80,1.23,0.15,45.8,214.6,103.8,5.38,1.85,0,1.69,2.31,49.1,44,89.7,3.38,Matches
415,Jose Sa,,pt POR,GK,Wolves,29-077,1993,31,32.4,29.9,32.2,0.26,0,0,23.3,0.03,0.03,100,0.03,0,14.7,87.6,48.2,0,0,0,0,0,10.6,10.6,100,0,Matches
416,Allan Saint-Maximin,,fr FRA,FWMF,Newcastle Utd,25-023,1997,23.7,40,0.25,3.8,19.9,23,4.51,39,4.51,7.64,59.1,4.89,0.08,38.1,261.6,169.6,8.1,3,1.77,2.66,3.88,42.2,30.4,72.1,4.18,Matches
417,Romain Saiss,,ma MAR,DF,Wolves,32-009,1990,27.4,69.8,10.3,40.2,28.4,4.2,1.17,68.1,0.18,0.26,71.4,0.18,0.04,40.2,175.3,92.8,2.37,0.58,0.04,0.18,0.26,46.2,45,97.3,0.22,Matches
418,Bukayo Saka,,eng ENG,FWMF,Arsenal,20-211,2001,23.7,51.2,0.76,5.57,19.1,30.3,7.22,48.9,1.65,3.25,50.6,1.69,0.21,38.7,227.1,153.6,8.44,1.98,2.03,2.66,1.94,53.1,38.1,71.9,7.89,Matches
419,Mohamed Salah,,eg EGY,FW,Liverpool,29-293,1992,25.9,50.5,0.19,2.28,15.9,35.3,10.7,50,2.05,4.48,45.7,2.43,0.08,39,173,107.3,7.03,1.27,2.43,2.55,2.47,64.1,41.9,65.3,12,Matches
420,Mohammed Salisu,,gh GHA,DF,Southampton,22-352,1999,27,70,9.07,33.5,34.9,5.67,1.15,66.4,0.26,0.41,63.6,0.26,0,39,246.7,117.9,3.93,0.56,0,0.22,0.63,39.7,38.8,97.7,0.15,Matches
421,Albert Sambi Lokonga,,be BEL,MF,Arsenal,22-164,1999,10.1,69.5,2.77,19.1,39.9,14.6,0.2,67.7,0.3,0.4,75,0.3,0,47,285.5,158.7,6.53,1.19,0,0.89,0.5,52.1,50.2,96.4,0.89,Matches
422,Davinson Sanchez,,co COL,DF,Tottenham,25-296,1996,14.8,68,8.04,31.9,34.4,6.01,1.28,66.6,0.14,0.27,50,0.2,0,42.8,221,120.2,4.8,0.95,0,0.2,0.47,47.8,46.3,96.9,0.27,Matches
423,Robert Sanchez,,es ESP,GK,Brighton,24-137,1997,29,44.7,34.8,44.3,0.45,0,0,36.9,0,0,,0,0,25.9,115.1,66.3,0,0,0,0,0,26.9,26.9,100,0,Matches
424,Jadon Sancho,,eng ENG,FWMF,Manchester Utd,22-010,2000,17.6,56.2,0.97,8.18,24.3,30.3,5.4,54.9,2.16,3.92,55.1,2.27,0.8,44.2,279.5,188.9,9.77,3.41,2.44,1.82,1.82,54.2,44.2,81.6,6.48,Matches
425,Morgan Sanson,,fr FRA,MF,Aston Villa,27-229,1994,4,54.8,1.25,11.5,34.3,14,0.75,54.5,1.5,1.75,85.7,1.5,0,40.8,266,136.5,6.75,1.75,0.25,1.25,2.75,40.5,34.8,85.8,1.75,Matches
426,Samir Santos,,br BRA,DF,Watford,27-120,1994,12,49.4,6.67,32.2,19.1,1.25,0.67,48.7,0,0.08,0,0,0.08,27.6,129.3,59.3,0.92,0.17,0.08,0.08,0.33,28.4,27.8,97.9,0.08,Matches
427,Josh Sargent,,us USA,FWMF,Norwich City,22-043,2000,17.3,37.3,1.91,7.05,16,16.4,3.7,36.8,1.04,1.97,52.9,1.04,0.06,21.1,117.3,55.3,2.2,0.98,0.23,2.31,2.02,39.4,23.1,58.7,5.14,Matches
428,Jeremy Sarmiento,,ec ECU,FWDF,Brighton,19-292,2002,0.3,76.7,6.67,20,26.7,36.7,3.33,76.7,3.33,3.33,100,3.33,0,56.7,516.7,343.3,10,3.33,0,6.67,3.33,53.3,50,93.8,6.67,Matches
429,Ismaila Sarr,,sn SEN,MFFW,Watford,24-038,1998,15.9,37.5,0.5,5.28,15.6,20.7,4.21,37.1,1.95,3.58,54.4,2.08,0.31,29.4,191.6,128.7,6.48,2.39,1.38,3.21,2.77,42.6,28,65.7,6.48,Matches
430,Malang Sarr,,fr FRA,DF,Chelsea,23-071,1999,4.7,79.6,6.38,31.9,44,8.51,0,74.5,0,0.43,0,0,0,51.9,225.7,111.3,4.68,1.91,0,0.21,0,55.1,53.8,97.7,0.43,Matches
431,Dane Scarlett,,eng ENG,MF,Tottenham,18-011,2004,0,1,0,0,1,0,0,1,1,1,100,1,0,2,2,1,0,0,0,0,0,3,1,33.3,0,Matches
432,Fabian Schar,,ch SUI,DF,Newcastle Utd,30-105,1991,19.8,50.8,8.64,29.6,22,3.08,1.16,47.6,0.35,0.56,63.6,0.4,0,27.6,174.9,106.3,2.17,0.51,0,0.15,0.2,27.9,27,96.9,0.15,Matches
433,Jeffrey Schlupp,,gh GHA,MFFW,Crystal Palace,29-102,1992,14.4,45.3,2.15,10.1,24.9,12.9,3.26,44.9,1.46,2.71,53.8,1.67,0.21,27.4,133.1,64.7,3.06,0.42,0.49,1.74,1.81,34.2,27.8,81.1,2.64,Matches
434,Kasper Schmeichel,,dk DEN,GK,Leicester City,35-150,1986,28,38.5,34.2,38.1,0.39,0,0,26.2,0,0,,0,0,16.4,69.3,32.1,0.04,0,0,0,0,16.3,16.1,99.1,0,Matches
435,Ken Sema,,se SWE,MFFW,Watford,28-186,1993,6.1,35.6,2.95,11.6,15.2,10.8,1.48,34.6,0.98,2.13,46.2,1.15,0.33,22,111.6,61.1,2.95,0.33,0.49,1.97,2.62,31.6,19.2,60.6,3.61,Matches
436,Nelson Semedo,,pt POR,DF,Wolves,28-139,1993,22.1,61.6,4.16,18.1,26.2,22,2.35,52.7,1.36,2.71,50,1.63,0.14,39.5,202.3,128.5,6.29,2.17,0.72,1.49,1.18,41,35.6,86.7,3.44,Matches
437,Ryan Sessegnon,,eng ENG,DFMF,Tottenham,21-321,2000,6,46,2.83,15,15.5,17.3,2.67,41,0.83,2.17,38.5,0.83,0,29.2,145.7,80,4.17,0.33,0.67,1.83,1.83,32.7,27.2,83.2,3.33,Matches
438,Jamie Shackleton,,eng ENG,DFMF,Leeds United,22-178,1999,7.6,62.6,3.29,24.5,29.9,12.6,1.71,54.7,1.05,1.97,53.3,1.05,0.13,40.7,194.7,102.1,3.55,0.92,0.26,0.53,0.79,40.8,36.4,89.4,1.84,Matches
439,Luke Shaw,,eng ENG,DF,Manchester Utd,26-266,1995,17.8,74.2,3.43,17.9,35.6,26.6,0.9,61.9,0.56,1.35,41.7,0.67,0.06,45.6,245.8,141.7,5.39,2.87,0.06,0.51,0.56,51.2,46.7,91.1,1.8,Matches
440,Jonjo Shelvey,,eng ENG,MF,Newcastle Utd,30-036,1992,18,51.8,2.39,16.2,28.8,9.33,0.17,47.8,0.39,0.56,70,0.5,0,30.3,137.8,54.2,1.56,0.44,0,0.67,0.39,32.5,30.5,93.8,0.33,Matches
441,Francisco Sierralta,,cl CHI,DF,Watford,24-333,1997,4.7,51.9,14,40.6,13.2,0.43,0.43,50.9,0.21,0.21,100,0.21,0,25.7,111.1,53.4,0.21,0,0,0.43,0.21,28.5,27.9,97.8,0,Matches
442,Bernardo Silva,,pt POR,MFFW,Manchester City,27-237,1994,26.9,69.2,1.56,9.18,32.9,33,6.73,66.9,1.78,2.9,61.5,2.04,0.07,53,320.6,185.9,10.7,3.31,1.26,1.23,1.08,62,54.3,87.6,6.95,Matches
443,Fabio Silva,,pt POR,FW,Wolves,19-259,2002,3.9,37.2,0.26,2.56,17.7,20.5,7.44,35.1,0.77,3.08,25,0.77,0.51,23.6,138.2,81.3,3.59,2.05,0.77,2.82,2.82,54.9,24.6,44.9,6.67,Matches
444,Thiago Silva,,br BRA,DF,Chelsea,37-194,1984,22.3,92.2,13.7,45.2,51.1,2.78,0.85,90.5,0.18,0.22,80,0.18,0.04,62.9,358.2,220.9,6.5,0.94,0.04,0.22,0.09,69.8,68.6,98.3,0.13,Matches
445,Ellis Simms,,eng ENG,FW,Everton,21-089,2001,0.7,27.1,2.86,5.71,17.1,4.29,1.43,27.1,0,0,,0,0,11.4,8.57,1.43,1.43,0,1.43,0,1.43,45.7,18.6,40.6,0,Matches
446,Moussa Sissoko,,fr FRA,MF,Watford,32-231,1989,27.8,42,3.71,12.1,23.6,9.42,0.9,41.3,1.29,1.87,69.2,1.37,0.07,24.9,141.8,76.8,2.41,0.97,0.18,0.97,1.19,26.3,22.8,86.7,1.73,Matches
447,Oliver Skipp,,eng ENG,MF,Tottenham,21-200,2000,15,63.5,2,12.8,43.9,10.3,0.67,62.4,0.13,0.2,66.7,0.13,0,43.3,208.1,114.1,5.67,1.93,0.33,0.53,0.87,48.7,46,94.5,0.87,Matches
448,William Smallbone,,ie IRL,MFFW,Southampton,22-042,2000,1.3,32.3,1.54,5.38,13.1,14.6,3.08,30.8,0,0.77,0,0,0,15.4,93.8,43.1,2.31,0.77,0.77,1.54,0,28.5,16.2,56.8,5.38,Matches
449,Emile Smith Rowe,,eng ENG,MFFW,Arsenal,21-250,2000,16.7,49.2,0.96,7.31,22.9,23.7,3.23,47.2,1.68,2.57,65.1,1.74,0,36,208.6,135.4,6.77,2.75,0.96,1.62,1.62,43.8,36.3,82.9,4.31,Matches
450,Cedric Soares,,pt POR,DF,Arsenal,30-216,1991,9.2,69.2,3.7,19.1,32.1,19.8,0.87,58.2,0.22,0.54,40,0.22,0,41,165.4,72.6,3.48,0.87,0,0.22,0.76,44,40.3,91.6,0.87,Matches
451,Tomas Soucek,,cz CZE,MF,West Ham,27-036,1995,28.9,52,4.39,14.5,28.5,11.7,2.73,51.5,0.24,0.62,38.9,0.28,0.03,25.9,120,54,2.39,0.97,0.07,0.93,0.55,38.5,30.9,80.3,1.83,Matches
452,Boubakary Soumare,,fr FRA,MF,Leicester City,23-036,1999,11.5,55.3,3.13,15.4,32.5,10.1,0.52,55.1,0.7,1.39,50,0.78,0.09,35.7,156.9,65,2.96,0.43,0.09,1.3,1.48,43.3,38.8,89.6,1.83,Matches
453,Caglar Soyuncu,,tr TUR,DF,Leicester City,25-316,1996,23.7,74.2,11.1,43.2,33.2,2.11,0.59,72.5,0.25,0.3,85.7,0.25,0,46.5,237.6,106.8,1.86,0.46,0,0.25,0.13,49.9,49.2,98.5,0.08,Matches
454,Jason Steele,,eng ENG,GK,Brighton,31-229,1990,1,42,37,42,0,0,0,36,0,0,,0,0,28,90,36,0,0,0,0,0,28,28,100,0,Matches
455,Jed Steer,,eng ENG,GK,Aston Villa,29-193,1992,1,37,33,36,1,0,0,28,0,0,,0,0,19,77,52,0,0,0,0,0,20,19,95,0,Matches
456,Zack Steffen,,us USA,GK,Manchester City,27-002,1995,1,41,37,41,0,0,0,32,0,0,,0,0,18,58,23,0,0,0,0,0,20,20,100,0,Matches
457,Dale Stephens,,eng ENG,MF,Burnley,32-296,1989,1.4,52.1,2.86,9.29,38.6,7.14,0,52.1,0,0,,0,0,22.9,82.9,24.3,0,1.43,0,1.43,0,30,25.7,85.7,0.71,Matches
458,Jack Stephens,,eng ENG,DF,Southampton,28-067,1994,7,62,8.14,32.6,32.7,2.43,0.43,59.6,0.14,0.29,50,0.14,0,33.9,228.3,128.6,3.14,1,0,0.14,0,36.4,35.4,97.3,0.14,Matches
459,Raheem Sterling,,eng ENG,FW,Manchester City,27-117,1994,18.4,54.6,0.27,2.61,17.1,38.8,9.73,54.2,1.79,4.4,40.7,1.96,0.11,46.8,226.7,135.9,8.64,1.41,2.45,1.74,2.99,58,45.6,78.6,10.1,Matches
460,Finley Stevens,,wls WAL,DF,Brentford,18-359,2003,0.2,50,0,10,25,15,5,50,0,0,,0,0,20,110,0,0,0,0,0,0,30,25,83.3,5,Matches
461,John Stones,,eng ENG,DF,Manchester City,27-311,1994,9.6,87.3,8.33,29.4,57,7.81,0.73,84.4,0.63,0.73,85.7,0.63,0.1,63.1,407.8,235.1,9.38,2.08,0,0.42,0.21,70.5,69.4,98.4,0.21,Matches
462,Pascal Struijk,,nl NED,DFMF,Leeds United,22-236,1999,19.8,67.7,8.94,37.9,29,4.34,0.66,65.4,0.2,0.25,80,0.2,0,38.6,204.2,108.1,1.57,0.2,0,0.2,0.56,42.9,41.3,96.1,0.4,Matches
