,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-100,1996,17.3,2.6,1.68,1.27,0.92,0.4,0.87,2.02,42.9,1.16,20.2,5.26,26,5.14,9.48,5.61,1.04,0.29,0,0.75,0.87,3.47,0.29,0,Matches
59,Dan Burn,,eng ENG,DF,Newcastle Utd,29-330,1992,8,1.88,0.63,1.5,0.38,0,0.5,0.75,66.7,0.25,11.1,3.88,34.8,6.5,4.5,0.13,2.25,1.25,0,1,1.13,3,7.63,0,Matches
60,Dan Burn,,eng ENG,DF,Brighton,29-330,1992,11.4,2.11,1.32,1.05,0.7,0.35,0.53,1.58,33.3,1.05,12.4,4.04,32.6,5.35,5.61,1.4,2.46,0.96,0,1.49,2.81,4.91,4.56,0.18,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-025,1993,5.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-200,1993,4,3.5,2,2.75,0.75,0,1.5,3,50,1.5,18,5,27.8,8,7.75,2.25,4,0.75,0,3.25,3.25,6.75,4.25,0,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-188,1981,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.5,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-019,1997,9.3,0.97,0.75,0.11,0.32,0.54,0.11,0.22,50,0.11,12.3,2.47,20.2,0.75,5.81,5.7,0.65,0.22,0,0.43,0.54,1.51,0.97,0,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-312,1994,27.9,2.54,1.54,0.75,1.15,0.65,1.04,2.33,44.6,1.29,9.46,3.37,35.6,2.9,3.91,2.65,1.4,0.11,0,1.29,2.19,4.73,1.61,0,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-061,1997,22.8,2.5,0.96,1.23,0.83,0.44,1.01,2.59,39,1.58,19.9,4.87,24.5,8.46,7.59,3.82,1.67,0.13,0,1.54,1.4,3.9,1.62,0,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-036,1998,4.9,3.06,2.24,1.63,1.22,0.2,0.82,2.86,28.6,2.04,21.6,5.1,23.6,7.96,9.39,4.29,0.41,0,0,0.41,0.82,3.88,0.61,0,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-240,1997,29.5,2.71,1.22,1.59,0.98,0.14,1.22,2.1,58.1,0.88,14.4,3.9,27.1,7.63,5.36,1.39,2.41,0.41,0,2,2.58,5.29,2.71,0,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-120,1995,15.8,2.85,1.01,1.27,1.27,0.32,1.08,2.03,53.1,0.95,14.7,4.49,30.5,6.39,6.84,1.52,2.28,0.25,0,2.03,1.65,4.49,2.91,0.13,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-032,1994,5,1.6,1.6,0.8,0.8,0,0.6,1.2,50,0.6,15.4,5.2,33.8,6.8,5.8,2.8,2,0.2,0,1.8,0.8,2.4,0.4,0,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-057,1989,24.3,1.23,0.58,0.99,0.25,0,0.58,1.19,48.3,0.62,6.21,1.89,30.5,4.32,1.77,0.12,2.06,1.19,0,0.86,1.4,2.63,5.02,0.04,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-049,1987,6.8,0.59,0.29,0,0.44,0.15,0.44,0.88,50,0.44,11.3,4.26,37.7,1.91,4.56,4.85,1.03,0,0,1.03,1.03,1.62,0.74,0,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-297,2003,0.1,0,0,0,0,0,0,0,,0,30,0,0,10,10,10,0,0,0,0,0,0,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-273,1999,13.1,2.52,1.3,1.07,1.15,0.31,1.22,1.83,66.7,0.61,10.2,3.66,35.8,3.82,5.5,0.92,1.22,0.61,0.08,0.61,2.06,4.58,4.73,0.08,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-074,1995,1.9,1.05,0.53,1.05,0,0,0.53,1.58,33.3,1.05,12.6,2.63,20.8,9.47,2.63,0.53,5.79,1.58,0,4.21,1.58,2.63,3.68,0.53,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-074,1995,5,1.6,1.2,0.6,0.8,0.2,0.8,1,80,0.2,9,3.4,37.8,4.8,4,0.2,1.4,0.8,0,0.6,0.6,2.2,8,0,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,20-000,2002,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-104,1996,6,1.67,0.83,0.5,1,0.17,0,0.83,0,0.83,15.3,5.17,33.7,5.67,6,3.67,1.67,0,0,1.67,1,2.67,2.5,0.17,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-058,2000,0.6,5,3.33,3.33,1.67,0,5,5,100,0,33.3,11.7,35,8.33,15,10,3.33,0,0,3.33,0,5,1.67,0,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-185,1997,3.2,2.5,0.63,0.94,1.56,0,0.63,1.56,40,0.94,13.1,1.88,14.3,4.69,7.5,0.94,1.56,0,0,1.56,5,7.5,3.75,0,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-359,1996,14.1,0.92,0.78,0.57,0.14,0.21,0.5,0.78,63.6,0.28,8.72,3.26,37.4,4.96,3.12,0.64,1.99,0.64,0,1.35,3.62,4.54,5.39,0,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-087,2004,2.2,0.91,0.45,0,0.91,0,0.91,2.27,40,1.36,24.1,5.91,24.5,6.82,13.2,4.09,0.91,0,0,0.91,1.36,2.27,0.45,0,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-190,1989,11.3,1.5,1.15,0.8,0.53,0.18,0.8,1.33,60,0.53,6.73,2.39,35.5,4.69,1.68,0.35,1.24,0.88,0,0.35,1.33,2.83,4.42,0,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-235,1989,15.3,1.76,1.37,0.85,0.65,0.26,0.46,1.63,28,1.18,20.1,5.56,27.6,5.49,10.7,3.92,1.76,0.46,0.07,1.31,1.5,3.27,0.92,0,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-364,1991,6,2,1.17,0.67,1.33,0,0.5,1.33,37.5,0.83,9.67,3.33,34.5,5,4,0.67,0.83,0.33,0,0.5,3.33,5.33,1.83,0,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-038,1993,30.8,0.84,0.55,0.58,0.23,0.03,0.32,0.71,45.5,0.39,5.49,1.98,36.1,3.51,1.82,0.16,1.59,1.17,0.1,0.42,1.07,1.92,3.93,0,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-175,1988,21.6,2.69,1.44,1.44,0.74,0.51,1.25,2.04,61.4,0.79,11.7,3.98,34,5.19,4.63,1.9,1.81,0.42,0,1.39,1.85,4.54,2.22,0.05,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-339,2001,8.6,1.98,1.51,1.63,0.35,0,0.23,0.93,25,0.7,8.95,3.37,37.7,5.93,2.56,0.47,3.02,1.63,0,1.4,2.44,4.42,5.47,0,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-066,2000,1.7,0,0,0,0,0,0,0.59,0,0.59,15.9,2.94,18.5,2.35,6.47,7.06,1.18,0,0,1.18,0,0,0,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-217,1991,15.2,1.97,0.86,1.12,0.79,0.07,0.79,1.51,52.2,0.72,11.2,4.14,37.1,6.58,4.41,0.2,1.78,0.99,0,0.79,1.91,3.88,5.92,0.13,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-283,1989,10.6,0.94,0.47,0.28,0.47,0.19,0.38,1.79,21.1,1.42,19.1,5,26.2,4.53,10,4.53,1.51,0.28,0,1.23,1.79,2.74,1.6,0,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-189,1996,12.7,1.02,0.63,0.24,0.39,0.39,0.16,0.39,40,0.24,15,4.49,29.8,2.28,6.85,5.91,0.47,0.16,0,0.31,0.63,1.65,0.87,0,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-082,1994,0.2,0,0,0,0,0,0,10,0,10,45,10,22.2,5,25,15,0,0,0,0,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-225,1992,18.7,1.98,1.02,1.07,0.53,0.37,0.64,1.55,41.4,0.91,12.9,3.58,27.8,6.1,4.44,2.35,2.03,0.27,0,1.76,1.44,3.42,3.05,0,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-296,1992,9.4,0.96,0.64,0.21,0.32,0.43,0.64,1.17,54.5,0.53,14,3.4,24.2,2.87,7.34,3.83,0.96,0,0,0.96,0.53,1.49,0.11,0,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-110,1989,23.3,1.12,0.64,0.82,0.21,0.09,0.56,1.03,54.2,0.47,6.65,2.19,32.9,3.48,2.27,0.9,1.5,0.52,0,0.99,1.46,2.58,2.15,0,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-118,2002,1.6,4.38,1.88,2.5,1.88,0,1.88,1.88,100,0,18.1,3.13,17.2,8.75,9.38,0,1.25,0.63,0,0.63,2.5,6.88,6.25,0,Matches
98,Cucho,,co COL,FWMF,Watford,22-349,1999,12.1,1.07,0.41,0.58,0.41,0.08,0.25,2.56,9.7,2.31,21,4.71,22.4,5.54,8.84,6.61,0.99,0.08,0,0.91,0.91,1.98,0.74,0,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-256,1998,26.3,2.32,1.56,0.84,1.25,0.23,1.29,2.13,60.7,0.84,15.8,5.78,36.6,6.08,6.88,2.81,2.05,0.34,0.08,1.71,1.98,4.3,1.86,0,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-343,2002,0.9,1.11,1.11,0,1.11,0,1.11,1.11,100,0,21.1,1.11,5.3,7.78,11.1,2.22,0,0,0,0,2.22,3.33,1.11,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-177,1998,8.5,1.06,0.59,0.24,0.47,0.35,0,0.82,0,0.82,16.8,4.94,29.4,1.53,8.12,7.18,0.47,0,0,0.47,0.12,1.18,0.82,0,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-350,1991,29.9,2.64,1.27,1.71,0.77,0.17,1.51,3.55,42.5,2.04,15.8,4.98,31.5,7.96,6.12,1.74,2.04,0.54,0.03,1.51,2.44,5.08,2.14,0,Matches
