,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-210,1998,14.7,0,0.95,0.07,7.1,0.95,0.07,0,0,21,0.07,0,0,0.07,0.07,0.07,-0.07,-0.07,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-027,1999,9.4,0,0.85,0.43,50,0.85,0.43,0,0,20.6,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
118,Raphael Dias Belloli,,br BRA,FWMF,Leeds United,25-111,1996,26,0.35,2.77,0.65,23.6,2.77,0.65,0.08,0.35,20.3,0.35,0.12,0.12,0.36,0.27,0.1,-0.02,-0.04,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-325,1997,23.7,0.08,0.63,0.13,20,0.63,0.13,0.13,0.67,11.6,0,0,0,0.06,0.06,0.1,0.02,0.02,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-081,1997,5.5,0.36,3.45,1.27,36.8,3.45,1.27,0.11,0.29,17.3,0,0,0,0.42,0.42,0.12,-0.05,-0.05,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-079,1994,26.1,0,0.42,0.11,27.3,0.42,0.11,0,0,14.2,0.15,0,0,0.03,0.03,0.09,-0.03,-0.03,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-258,1993,7.2,0,0.83,0.14,16.7,0.83,0.14,0,0,14.1,0.14,0,0,0.07,0.07,0.08,-0.07,-0.07,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-258,1993,13,0,0.69,0.08,11.1,0.69,0.08,0,0,21.1,0.23,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-270,1991,28,0.11,1,0.39,39.3,1,0.39,0.11,0.27,11.4,0.04,0,0,0.07,0.07,0.07,0.03,0.03,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-085,1997,9,0,0.11,0.11,100,0.11,0.11,0,0,7.2,0,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-293,1998,4.9,0,2.04,0.2,10,2.05,0.21,0,0,15.9,0,0,0,0.31,0.31,0.15,-0.31,-0.31,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-091,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-078,1992,9.5,0.21,1.58,0.63,40,1.58,0.63,0.13,0.33,13.7,0,0,0,0.26,0.26,0.16,-0.05,-0.05,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-106,1997,24.4,0.12,0.86,0.29,33.3,0.86,0.29,0.14,0.43,11.4,0,0,0,0.08,0.08,0.09,0.05,0.05,Matches
130,Abdoulaye Doucoure,,ml MLI,MF,Everton,29-093,1993,20.7,0.1,1.21,0.29,24,1.21,0.29,0.08,0.33,16.9,0,0,0,0.09,0.09,0.08,0,0,Matches
131,Kieran Dowell,,eng ENG,MFFW,Norwich City,24-176,1997,4,0,0.75,0,0,0.76,0,0,,26,0.5,0,0,0.05,0.05,0.05,-0.05,-0.05,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,0.06,1.31,0.31,23.8,1.32,0.31,0.05,0.2,9.4,0,0,0,0.08,0.08,0.06,-0.02,-0.02,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,0.05,0.73,0.24,33.3,0.73,0.24,0.07,0.2,9.7,0,0,0,0.05,0.05,0.07,0,0,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,0.43,2.41,0.99,41.2,2.41,0.99,0.15,0.36,13,0,0.07,0.07,0.46,0.4,0.17,-0.04,-0.05,Matches
