,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-198,1998,13.7,726,703,23,8,0,148,19,30,11,8,0,0,555,72,99,613,73,24,3,0,560,4,17,26,22,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-015,1999,8.4,342,339,3,3,1,62,3,3,0,0,0,0,276,30,36,33,290,15,0,0,286,1,5,14,8,Matches
118,Raphael Dias Belloli,,br BRA,MFFW,Leeds United,25-099,1996,25,982,849,133,39,5,140,65,75,66,40,15,2,574,153,255,830,91,10,27,11,627,0,24,64,47,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-313,1997,23.7,1956,1912,44,31,2,128,42,5,0,0,0,0,1692,93,171,307,1550,56,12,3,1845,2,13,15,10,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-069,1997,5.5,235,235,0,0,1,48,3,10,0,0,0,0,190,28,17,32,187,8,0,5,206,0,1,9,5,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-067,1994,25.1,1540,1505,35,28,4,127,43,0,0,0,0,0,1203,89,248,211,1217,70,2,5,1363,7,17,25,12,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-246,1993,7.1,409,310,99,12,0,54,19,31,18,7,7,1,210,96,103,290,17,23,69,0,300,0,9,15,19,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-246,1993,13,678,515,163,23,0,90,16,34,21,2,14,1,335,140,203,464,29,47,119,2,487,3,19,26,35,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-258,1991,27,1956,1896,60,55,0,166,75,0,0,0,0,0,1515,150,291,295,1467,111,5,10,1773,1,13,20,9,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-073,1997,9,359,351,8,6,1,36,5,1,0,0,0,0,273,20,66,74,255,20,0,1,309,0,7,4,0,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-281,1998,4.9,143,142,1,1,0,24,1,6,0,0,0,0,100,21,22,24,112,5,0,0,105,0,3,5,11,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-079,2003,0.4,7,7,0,0,0,2,0,1,0,0,0,0,4,2,1,0,7,0,0,0,4,0,0,1,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-066,1992,8.5,498,437,61,5,2,64,11,18,0,0,0,0,343,92,63,28,386,15,56,1,407,1,5,28,15,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-094,1997,24.4,1397,1352,45,26,1,128,28,2,0,0,0,0,1148,95,154,1212,107,44,1,9,1251,4,17,18,8,Matches
130,Abdoulaye Doucoure,,fr FRA,MF,Everton,29-081,1993,19.7,787,773,14,11,2,167,10,6,0,0,0,0,574,117,96,75,639,41,2,3,629,1,16,33,26,Matches
131,Kieran Dowell,,eng ENG,FWMF,Norwich City,24-164,1997,4,123,111,12,3,0,31,5,10,6,4,2,0,72,13,38,81,23,9,0,3,79,1,3,6,8,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-105,2001,1.4,77,51,26,1,0,6,0,2,0,0,0,0,38,25,14,2,46,3,25,1,60,0,0,3,5,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-067,1989,17,550,321,229,70,0,33,19,0,0,0,0,0,187,11,352,25,444,0,0,53,359,2,14,2,1,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-081,1992,16,1007,987,20,12,0,82,26,0,0,0,0,0,791,64,152,71,839,57,7,3,894,1,16,13,6,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,68,49,19,1,0,7,1,3,0,0,0,0,35,11,22,40,2,5,18,0,51,0,0,4,1,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-122,1991,19.6,1484,1449,35,30,1,96,38,3,0,0,0,0,1232,85,167,97,1308,37,4,7,1353,1,19,24,7,Matches
137,Ederson,,br BRA,GK,Manchester City,28-218,1993,28,828,688,140,29,1,60,24,0,0,0,0,0,610,35,183,557,141,0,1,118,739,1,14,5,1,Matches
