,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
511,Ben White,,eng ENG,DF,Arsenal,24-166,1997,26,1673,205,816,872,104,18,1630,7,16,43.8,8,2,1117,6006,3374,77,16,2,8,10,1144,1131,98.9,2,Matches
512,Brandon Williams,,eng ENG,DF,Norwich City,21-201,2000,21.5,1290,117,513,578,315,28,1119,15,31,48.4,17,0,759,4475,2542,77,33,6,27,28,764,707,92.5,28,Matches
513,Neco Williams,,wls WAL,DF,Liverpool,20-344,2001,0.1,8,0,2,2,4,1,7,2,2,100,2,0,8,34,22,2,0,1,0,0,7,7,100,2,Matches
514,Joe Willock,,eng ENG,MF,Newcastle Utd,22-215,1999,19.5,734,26,185,353,257,58,717,26,60,43.3,34,4,513,3119,1735,72,24,12,30,30,540,422,78.1,53,Matches
515,Callum Wilson,,eng ENG,FW,Newcastle Utd,30-024,1992,13.2,317,13,37,138,164,56,300,14,23,60.9,16,0,183,648,355,19,7,11,51,26,559,218,39,46,Matches
516,Harry Winks,,eng ENG,MF,Tottenham,26-049,1996,9.4,694,21,159,425,150,4,667,5,11,45.5,6,0,481,2424,1046,44,12,1,4,10,546,530,97.1,12,Matches
517,Yoane Wissa,,cd COD,FWMF,Brentford,25-201,1996,9.6,276,9,46,114,133,30,273,11,11,100,11,3,174,911,501,32,7,5,17,10,356,185,52,56,Matches
518,Chris Wood,,nz NZL,FW,Newcastle Utd,30-106,1991,10,344,7,28,185,142,38,340,4,7,57.1,4,0,119,357,162,9,3,0,44,9,445,273,61.3,59,Matches
519,Chris Wood,,nz NZL,FW,Burnley,30-106,1991,15.2,452,12,28,202,234,50,444,5,9,55.6,5,0,195,641,259,17,6,2,51,15,784,356,45.4,90,Matches
520,Freddie Woodman,,eng ENG,GK,Newcastle Utd,25-019,1997,4,128,123,128,0,0,0,79,0,0,,0,0,54,350,215,0,0,0,0,0,49,49,100,0,Matches
